TF	Cell line	-log10(P-value)	SE/TE mean densities ratio	SE/TE median density ratio	#TE	#SE	TE mean	SE mean	TE median	SE median
ANDR_MOUSE	CH12	0.24672568488980678	1.0812255226269722	1.330850244027742	45	14	0.07492174618185884	0.08100730417160569	0.054140127388535034	0.07205240174672489
ANDR_MOUSE	Heart	3.689454030781774	1.9076059900902187	2.072234762979684	35	10	0.06356169972416442	0.12125067913413186	0.05228758169934641	0.10835214446952596
ANDR_MOUSE	Spleen	1.1760912590556813	1.5201395717804944	1.877124183006536	6	4	0.05753732868696052	0.08746477019158973	0.05013927576601671	0.09411764705882353
ANDR_MOUSE	Esb4	0.04558520108855179	0.8782342417249902	0.8309294871794871	32	7	0.070857074459287	0.06222910905860309	0.06557377049180328	0.05448717948717949
ANDR_MOUSE	Placenta	0.23316834106291967	0.9885656936709479	0.8312215724496426	92	29	0.07062666106310866	0.06981909418551495	0.06312292358803986	0.05246913580246913
ANDR_MOUSE	Bmarrow	0.33503244722206726	0.7867582298014572	0.9239130434782609	11	6	0.06479722332177756	0.05097974871669141	0.05333333333333334	0.04927536231884058
ANDR_MOUSE	MEL	0.1449375373513828	0.8967815261527967	0.9970674486803518	79	18	0.06184829548942542	0.05546440881895606	0.05	0.04985337243401759
ANDR_MOUSE	BmarrowDm	0.012665855308947921	0.9570347067668754	1.0601680672268907	73	21	0.06658466521421606	0.06372383554845784	0.05120481927710843	0.054285714285714284
ANDR_MOUSE	Es-E14	0.015400162379357386	1.008517081978464	1.066507684154743	134	26	0.06862564888333682	0.06921013916070147	0.05217391304347826	0.05564387917329094
ANDR_MOUSE	OlfactoryBulb	0.8500415657889123	0.8089953832995243	0.8353413654618473	49	20	0.07037527273374858	0.05693327074004749	0.057692307692307696	0.04819277108433735
ANDR_MOUSE	BAT	0.08929578671100079	0.9655431616339936	0.9436692506459948	29	8	0.06559266091604603	0.06333254520086556	0.05421686746987952	0.05116279069767442
ANDR_MOUSE	Kidney	0.042707595679041	0.9747777139490295	1.390294117647059	71	19	0.06966175281106192	0.06790472415484931	0.049079754601226995	0.06823529411764706
ANDR_MOUSE	Liver	0.29089695336897053	0.9664342877730876	1.0458119658119658	89	42	0.07334308722514066	0.07088127426550825	0.055900621118012424	0.05846153846153846
ANDR_MOUSE	Thymus	0.48621795250025124	1.1669355791176284	1.0914351851851851	53	16	0.06231825721747145	0.07272139157567137	0.054878048780487805	0.059895833333333336
ANDR_MOUSE	Limb	0.44624468824659264	1.4889444177921174	1.8333333333333335	17	3	0.060526466449904885	0.09012054434926775	0.05142857142857143	0.09428571428571429
ANDR_MOUSE	Cerebellum	0.14324496315240318	0.9255013144447173	1.1762472313047145	84	22	0.07590505538069918	0.07025022852783615	0.057926829268292686	0.06813627254509018
ANDR_MOUSE	MEF	0.6098572949678835	0.7348086298177339	0.9242076251722553	56	10	0.0709688942765369	0.05214855596302169	0.055666003976143144	0.05144694533762058
ANDR_MOUSE	Wbrain	0.015962985675847023	1.029932505481167	0.9160714285714285	95	19	0.07124816836370364	0.0733808045537733	0.05847953216374269	0.05357142857142857
ANDR_MOUSE	Lung	0.0857130845895613	1.179671120385128	1.2754230827870103	25	8	0.06675510783814839	0.07874907285485855	0.06526806526806526	0.0832443970117396
ANDR_MOUSE	Cortex	0.48774887647051374	1.0507186248336662	1.4067820069204153	59	19	0.07091172496490786	0.07450827013971113	0.05519480519480519	0.07764705882352942
ANDR_MOUSE	SmallIntestine	0.07264741202756453	0.9358054023065906	1.145136020509899	64	27	0.06988661185620515	0.0654002689239406	0.050746268656716415	0.05811138014527845
AP2A_MOUSE	CH12	0.8625819924674221	1.330236689936237	1.3010869565217391	23	5	0.06324570202577244	0.0841317533154571	0.05764411027568922	0.075
AP2A_MOUSE	Heart	0.01158588545338048	1.017136035218266	1.7679398148148149	23	4	0.06375422160199165	0.0648467161886765	0.05106382978723404	0.09027777777777778
AP2A_MOUSE	Esb4	0.01522245079792094	0.9052568825696641	0.7255489021956089	20	3	0.06336788730284057	0.05736421611479525	0.06602475928473177	0.04790419161676647
AP2A_MOUSE	Placenta	0.24080711936440455	1.0405794508033575	1.1563467492260062	57	16	0.07460484690709347	0.07763227062185189	0.07228915662650602	0.08359133126934984
AP2A_MOUSE	MEL	0.4209567167817886	1.1800569012810513	1.387123745819398	40	9	0.057917902843865665	0.06834642095862911	0.04701627486437613	0.06521739130434782
AP2A_MOUSE	BmarrowDm	0.8639043749797916	0.8160077845954437	0.500497512437811	42	9	0.07528843610933988	0.061435949955238045	0.07157057654075547	0.03582089552238806
AP2A_MOUSE	Es-E14	0.2321509033742879	1.0903999688871608	1.1357285429141717	100	23	0.07144812343550551	0.07790703157112124	0.0632688927943761	0.0718562874251497
AP2A_MOUSE	OlfactoryBulb	0.19916429999738258	0.9672022424816433	1.0540006084575602	22	19	0.0801772892764504	0.07754765398428225	0.07129455909943715	0.07514450867052024
AP2A_MOUSE	BAT	0.5014806005791071	0.7039739183507137	0.9793103448275862	7	4	0.07749098281781786	0.05455163081110706	0.056338028169014086	0.05517241379310345
AP2A_MOUSE	Kidney	0.5829594999343922	1.3200659213688974	1.183381088825215	34	10	0.0648150629580562	0.08556015580230955	0.05811138014527845	0.06876790830945559
AP2A_MOUSE	Liver	0.06047841570304608	1.0053389936477892	1.2512195121951222	35	25	0.06868826596205277	0.06905499217770182	0.04678362573099415	0.05853658536585366
AP2A_MOUSE	Thymus	0.08420135518913471	0.7849559422677318	0.653290529695024	31	9	0.06885524851152575	0.05404833647544353	0.05896805896805897	0.038523274478330656
AP2A_MOUSE	Limb	0.06222578615045247	1.330548403057578	1.2508544087491458	7	8	0.053508335042648306	0.07119542974126554	0.04590163934426229	0.05741626794258373
AP2A_MOUSE	Cerebellum	0.17776500980216875	0.8681279541481777	0.9579579579579579	41	20	0.07189184737041363	0.062411322377610226	0.06896551724137931	0.06606606606606606
AP2A_MOUSE	MEF	1.9620760428964257	0.5676009153951677	0.45272206303724927	22	7	0.07142458132479955	0.04054065774167282	0.0759493670886076	0.034383954154727794
AP2A_MOUSE	Wbrain	0.11343745498574583	0.9604521992645068	1.2278963414634145	43	8	0.06510268551249833	0.06252801747850456	0.0446927374301676	0.054878048780487805
AP2A_MOUSE	Lung	-0.0	1.1922377922489176	1.5143769968051117	9	4	0.054740776715078716	0.0652640227767764	0.05063291139240506	0.07667731629392971
AP2A_MOUSE	Cortex	0.4107649327260712	1.3418528526742775	1.2122844827586208	31	9	0.06515339101090876	0.08742626358939055	0.064	0.07758620689655173
AP2A_MOUSE	SmallIntestine	0.25449557686323976	0.9900698956216305	1.171907756813417	44	16	0.08046907347663977	0.07967000717778605	0.06976744186046512	0.08176100628930817
AP2C_MOUSE	Esb4	0.2965119368992739	0.7032161712429027	0.7893968427776258	14	4	0.06464467265959807	0.04545917919893331	0.061611374407582936	0.04863582443653618
AP2C_MOUSE	Placenta	1.0761906014882154	1.413314879931909	2.2448377581120944	29	6	0.06707288281546483	0.0947951033230257	0.051248357424441525	0.11504424778761062
AP2C_MOUSE	MEL	0.1495794963317355	0.9891078038682355	0.6811111111111111	22	7	0.06375571589214245	0.06306127613012417	0.0636215334420881	0.043333333333333335
AP2C_MOUSE	BmarrowDm	2.761492535872304	0.41967534245788723	0.38735465116279066	24	7	0.09917393512916796	0.041620855188229854	0.0975609756097561	0.0377906976744186
AP2C_MOUSE	Es-E14	0.17987380216539509	1.090160175844379	1.6239316239316237	58	12	0.06200080062977336	0.06759080371704601	0.0456140350877193	0.07407407407407407
AP2C_MOUSE	OlfactoryBulb	0.4641889472421424	1.2252186384659824	1.446035242290749	13	10	0.06488494745364616	0.07949824697609316	0.0594059405940594	0.08590308370044053
AP2C_MOUSE	BAT	0.45298757500294307	0.5787447260649745	0.7280314960629921	6	4	0.09385529724148046	0.05431825829176737	0.09950248756218906	0.07244094488188976
AP2C_MOUSE	Kidney	2.0086001717619175	2.979493713249411	3.299058084772371	15	3	0.03843562521579999	0.11451870369528659	0.027837259100642397	0.09183673469387756
AP2C_MOUSE	Liver	1.4955993459601864	1.517669532915275	1.6261538461538463	15	7	0.06331251642901015	0.0960874772365065	0.04304635761589404	0.07
AP2C_MOUSE	Thymus	-0.0	0.8319559170376858	1.0866510538641685	18	3	0.06440619677711823	0.05358311650261704	0.05603448275862069	0.06088992974238876
AP2C_MOUSE	Cerebellum	0.480291301509169	1.4170409242184632	1.8802744425385933	21	4	0.06288855972855889	0.08911566280052512	0.060090702947845805	0.11298701298701298
AP2C_MOUSE	Lung	-0.0	1.3381361633062667	0.826086956521739	3	3	0.0488488878894577	0.06536646342217689	0.059496567505720827	0.04914933837429111
AP2C_MOUSE	Cortex	0.6915820707138061	1.6181355997182774	1.5193598347960764	15	3	0.04802406768931695	0.07770945357136402	0.039755351681957186	0.06040268456375839
AP2C_MOUSE	SmallIntestine	0.809293504834049	1.2701449952048687	1.529604434366339	23	10	0.07025675797953974	0.08923626952703213	0.057815845824411134	0.08843537414965986
ASCL1_MOUSE	CH12	0.27043096504289904	0.8547364974828899	0.7600492206726825	29	10	0.07697354470781913	0.06579209800240396	0.07033639143730887	0.05345911949685535
ASCL1_MOUSE	Heart	0.3105659297130295	1.1427429971120138	1.173789173789174	25	9	0.0761636043408428	0.08703542549530828	0.06796116504854369	0.07977207977207977
ASCL1_MOUSE	Spleen	0.3366703519331149	1.4686175487469073	1.741415854175498	8	4	0.048927712906393125	0.07185609779437949	0.04430379746835443	0.0771513353115727
ASCL1_MOUSE	Esb4	1.7274485430097748	1.5312168441220184	1.8794091710758376	34	7	0.06035644643053105	0.09241880742577742	0.0469208211143695	0.08818342151675485
ASCL1_MOUSE	Placenta	0.010686045036909926	0.9672314185811836	0.7592901264829885	92	24	0.0709513040526628	0.06862633046904192	0.0640495867768595	0.0486322188449848
ASCL1_MOUSE	Bmarrow	0.29344107815113735	1.2384616938571027	1.2961672473867596	17	13	0.07211081244270277	0.08930647892320151	0.056451612903225805	0.07317073170731707
ASCL1_MOUSE	MEL	0.7184637824843862	0.7124940955196252	0.8485477178423237	57	13	0.07864763197049691	0.05603597340557956	0.06845965770171149	0.058091286307053944
ASCL1_MOUSE	BmarrowDm	0.08361920223066507	1.033266322716527	1.1937547746371275	71	27	0.07619723146506174	0.0787320331570844	0.06047516198704104	0.07219251336898395
ASCL1_MOUSE	Es-E14	0.3400799397551799	0.9455873834791599	1.0453333333333334	184	35	0.06826792131600361	0.06455328509276102	0.05357142857142857	0.056
ASCL1_MOUSE	OlfactoryBulb	0.300266576970721	0.8467952036023814	0.9979456384323642	64	21	0.07884207460263176	0.0667630906155697	0.0665083135391924	0.06637168141592921
ASCL1_MOUSE	Testis	0.09402290376380369	0.7670841152095325	1.0320378151260505	21	3	0.08560880301529192	0.06566915291513235	0.07124681933842239	0.07352941176470588
ASCL1_MOUSE	BAT	0.1398630618165094	0.9589767665005247	1.5359042553191489	26	9	0.06970057317239596	0.0668412302840975	0.048484848484848485	0.07446808510638298
ASCL1_MOUSE	Kidney	0.056496686526231285	0.9465864229561572	0.789247311827957	48	20	0.07029761784531537	0.066542770618536	0.0653950953678474	0.05161290322580645
ASCL1_MOUSE	Liver	0.4627041845591967	0.9683696300545753	0.8014842300556587	68	39	0.06945140620089318	0.06725463252952897	0.06481481481481481	0.05194805194805195
ASCL1_MOUSE	Thymus	0.1242508957091211	0.9040967688918654	0.981180496150556	61	16	0.06965437283418349	0.06297429341857462	0.06306306306306306	0.06187624750499002
ASCL1_MOUSE	Limb	0.15958069895885452	1.0188049839939959	0.6879551820728291	19	7	0.06942570506629336	0.0707312543388369	0.06840390879478828	0.047058823529411764
ASCL1_MOUSE	Cerebellum	0.9511429773022049	1.1777216844414091	1.193979933110368	82	41	0.06945872910119623	0.08180305143622035	0.06349206349206349	0.0758082497212932
ASCL1_MOUSE	MEF	0.7231055053370308	1.1298201726787271	1.5287671232876712	46	14	0.0661378105442882	0.07472383252974064	0.05017921146953405	0.07671232876712329
ASCL1_MOUSE	Wbrain	0.21337970988494387	0.84450657466611	0.9818181818181818	107	29	0.07533135366083517	0.06361782344507323	0.05555555555555555	0.05454545454545454
ASCL1_MOUSE	Lung	0.11512695093536658	1.033344513187226	1.6625	20	5	0.0735558042697225	0.07600848675519128	0.04678362573099415	0.07777777777777778
ASCL1_MOUSE	Cortex	0.08245459736664486	0.9661092150394037	1.0049261083743843	77	29	0.0584740902677061	0.056492357448676776	0.0457516339869281	0.04597701149425287
ASCL1_MOUSE	SmallIntestine	1.3729719671011553	1.4003206417678218	1.470644696848504	55	22	0.059262695812285146	0.08298677623275034	0.04416403785488959	0.06494960806270997
ASCL2_MOUSE	Placenta	0.5264289243056135	0.8846362418152647	1.2484472049689441	14	5	0.029374421044033452	0.025985677437892978	0.022388059701492536	0.027950310559006212
ASCL2_MOUSE	MEL	0.09087804823814336	0.9357172827913884	1.074935400516796	10	3	0.028131237450876347	0.02632288506909336	0.021634615384615384	0.023255813953488372
ASCL2_MOUSE	BmarrowDm	0.6465819348763305	1.540805381633347	1.6432575008242665	11	4	0.027680690356666145	0.04265055666887749	0.025280898876404494	0.04154302670623145
ASCL2_MOUSE	Es-E14	0.4797950693382603	1.351925650893031	1.6738144329896907	26	6	0.025110451064167434	0.03394746289914216	0.022172949002217297	0.03711340206185567
ASCL2_MOUSE	OlfactoryBulb	0.07615479141743699	0.8471952984090054	0.994186046511628	10	4	0.027448895243343673	0.023254574996682074	0.02631578947368421	0.02616279069767442
ASCL2_MOUSE	Thymus	0.14704010002865286	0.7223554540007715	1.104179104477612	10	6	0.03251016375793918	0.023483894101005584	0.024330900243309004	0.026865671641791045
ASCL2_MOUSE	Cerebellum	1.0886121186328241	1.597898464938334	1.6920842411038488	12	9	0.0314498408944938	0.050253652487866486	0.019313304721030045	0.032679738562091505
ASCL2_MOUSE	MEF	0.5740312677277188	0.7847463363389261	0.6327433628318584	7	3	0.0210796706378234	0.016542194304263146	0.025174825174825177	0.01592920353982301
ASCL2_MOUSE	SmallIntestine	0.6532125137753437	0.8744722191648735	1.2442244224422443	8	5	0.03501030920600524	0.0306155427850238	0.023872679045092837	0.0297029702970297
ATF2_MOUSE	Placenta	0.0834540301589364	1.1241600207573863	1.0419354838709678	9	4	0.03218954378166829	0.036186198205771014	0.034055727554179564	0.035483870967741936
ATF2_MOUSE	MEL	0.14844232951716135	1.1238416012312271	1.1768111406665624	9	4	0.03774493949353003	0.04241933323878457	0.03363914373088685	0.039586919104991396
ATF2_MOUSE	Es-E14	0.10520008516243741	1.2354542984806527	1.8990825688073394	13	4	0.037618961529891345	0.046476507726482576	0.03542673107890499	0.0672782874617737
ATF2_MOUSE	OlfactoryBulb	0.38436720148276377	1.1300574881412586	1.1857707509881423	5	4	0.038421535989728535	0.04341854445108159	0.03142857142857143	0.037267080745341616
